,0_RF,1_XGB,2_LGBM,3_ExtraTrees,6_RF,7_XGB,8_LGBM,9_ExtraTrees,12_RF,13_XGB,14_LGBM,15_ExtraTrees,18_RF,19_XGB,20_LGBM,21_ExtraTrees,24_RF,25_XGB,26_LGBM,27_ExtraTrees,30_RF,31_XGB,32_LGBM,33_ExtraTrees,36_RF,37_XGB,38_LGBM,39_ExtraTrees,42_RF,43_XGB,44_LGBM,45_ExtraTrees,48_RF,49_XGB,50_LGBM,51_ExtraTrees,54_RF,55_XGB,56_LGBM,57_ExtraTrees,MEAN,MEDIAN
33322_i_at,0.0,0.0,0.0,0.6873068668617792,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41985420407710733,0.6573029189359137,0.0,0.0,0.584071323594289,0.36917316966902086,0.0,0.0,0.6458590732484398,0.0,0.0,0.0,0.0,0.9170308507708921,0.0,0.0,0.6127964443238468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07472011288513296,0.0,0.0,0.0,0.0,0.14920287410916053,0.0
213680_at,0.47999211970206024,0.0,0.0,0.0,0.0,0.0,0.0,0.16018029372634549,0.0,0.0,0.0,0.5583107083779318,0.3531905068929227,0.0,0.0,0.5785149959220371,0.0,0.0,0.0,0.18837432413662097,0.05635910157156834,0.0,0.0,0.0,0.0,0.0,0.0,0.8780686226152511,0.5859206285575507,0.0,0.0,0.3471841141680378,0.0,0.0,0.0,0.4412445405209304,0.0,0.0,0.0,0.8218747109778705,0.13623036667922817,0.0
205109_s_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48575909606007883,0.0,0.0,0.0,0.6543336327493698,0.0,0.0,0.41230741409250166,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599862403720753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32112175852559116,0.0,0.0,0.9301360664808404,0.6786396685019351,0.0,0.0,0.0,0.1360570969195598,0.0
201680_x_at,0.0,0.16666666,0.25,0.0,0.0,0.16666666,0.25,0.0,0.0,0.16666666,0.25,0.0,0.0,0.16666666,0.25,0.0,0.0,0.16666666,0.25,0.0,0.45717817956419327,0.16666666,0.25,0.0,0.0,0.16666666,0.25,0.0,0.0,0.16666666,0.25,0.0,0.0,0.16666666,0.25,0.0,0.017208812652515476,0.16666666,0.25,0.0369000949597176,0.11694884136255046,0.1666666567325592
201042_at,0.0,0.3809524,0.0,0.15277352412570658,0.0,0.3809524,0.0,0.0,0.0599852570030539,0.3809524,0.0,0.14749874820986972,0.0,0.3809524,0.0,0.1732129117140093,0.0,0.3809524,0.0,0.0,0.0,0.3809524,0.0,0.0,0.0,0.3809524,0.0,0.0,0.0,0.3809524,0.0,0.0,0.0,0.3809524,0.0,0.0,0.0,0.3809524,0.0,0.32686926505139935,0.11674658966464398,0.0
209125_at,0.0,0.0,0.0,0.0,0.4274510089439879,0.0,0.0,0.21934196506122727,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8452018621120658,0.4196979623523365,0.0,0.0,0.0,0.0,0.0,0.0,0.12290002540011359,0.0,0.0,0.0,0.5310679991391193,0.5823698241528629,0.0,0.0,0.0,0.08096884541180153,0.0,0.0,0.0,0.0,0.0,0.0,0.006477057657980542,0.10588691375578738,0.0
33323_r_at,0.0,0.0,0.0,0.0,0.38961634368065207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35933811763353096,0.0,0.0,0.0,0.054736317147908324,0.0,0.0,0.0,0.24008071267865855,0.0,0.0,0.0,0.6002344560004546,0.09233233624498295,0.0,0.0,1.0,0.032939976692942005,0.0,0.0,0.4459316864794706,0.0,0.0,0.0,0.0,0.105380248663965,0.0
205644_s_at,0.0,0.0,0.25,0.09109214609985822,0.0,0.0,0.25,0.0,0.4717649817994127,0.0,0.25,0.0,0.0,0.0,0.25,0.41108269082134097,0.0,0.0,0.25,0.0,0.03533837768019372,0.0,0.25,0.3937939814194186,0.0,0.0,0.25,0.1443076441023917,0.0,0.0,0.25,0.0,0.0373365458275064,0.0,0.25,0.0,0.0,0.0,0.25,0.07623935074830335,0.10402389296246065,0.0
206276_at,0.0,0.0,0.0,0.04236885590106647,0.0,0.0,0.0,0.0,0.4777490024905261,0.0,0.0,0.06761837396807661,0.2794652059398116,0.0,0.0,0.0,0.013257817523276844,0.0,0.0,0.6730324090510982,0.0,0.0,0.0,0.12828490534295278,0.0,0.0,0.0,0.6767199003711144,0.5507186049438223,0.0,0.0,0.0,0.362205770531216,0.0,0.0,0.5557234701173812,0.2997402885079676,0.0,0.0,0.0,0.10317211511720777,0.0
204136_at,0.33241486083144356,0.0,0.0,0.0,0.0,0.0,0.0,0.07879981043885033,0.5322224103606459,0.0,0.0,0.09187054436669037,0.0,0.0,0.0,0.7908922659683241,0.0,0.0,0.0,0.0,0.44876790603575195,0.0,0.0,0.0,0.4370164788981709,0.0,0.0,0.0,0.6174737072586203,0.0,0.0,0.0,0.6424984280187215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09929891030443047,0.0
205064_at,0.0,0.0,0.0,0.5040542367950677,0.0,0.0,0.0,0.07434474969572054,0.0,0.0,0.0,0.033454210738575546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23682508384378237,0.3989209177436747,0.0,0.0,0.0,0.0,0.0,0.0,0.4873150271446599,0.0,0.0,0.0,0.7739168388004379,0.0,0.0,0.0,1.0,0.3430630134640733,0.0,0.0,0.0,0.0962973519556498,0.0
206284_x_at,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.38720822040330916,0.0,0.25,0.0,0.5034023067738039,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.3573655191422367,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.09369940115798374,0.0
201820_at,0.0,0.023809524,0.0,0.19535165202909574,0.39759810970021564,0.023809524,0.0,0.23717314866648492,0.0,0.023809524,0.0,0.0,0.31333731247877894,0.023809524,0.0,0.1365038323131803,0.0,0.023809524,0.0,0.047172357246903315,0.49552546844064227,0.023809524,0.0,0.23666387340347517,0.0,0.023809524,0.0,0.47721387073732696,0.0,0.023809524,0.0,0.0,0.0,0.023809524,0.0,0.0,0.0,0.023809524,0.0,0.9539842195348439,0.09321547717702637,0.02380952425301075
206166_s_at,0.3420206698800945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3679721377368632,0.0,0.0,0.0,0.9212258569090065,0.0,0.0,0.1267281063747215,0.43048229826148876,0.0,0.0,0.4860309499595744,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09186150047804373,0.0
