,1_XGB,3_ExtraTrees,7_XGB,9_ExtraTrees,13_XGB,15_ExtraTrees,19_XGB,21_ExtraTrees,25_XGB,27_ExtraTrees,31_XGB,33_ExtraTrees,37_XGB,39_ExtraTrees,43_XGB,45_ExtraTrees,49_XGB,51_ExtraTrees,55_XGB,57_ExtraTrees,MEAN,MEDIAN
221269_s_at,0.0,0.0,0.0,0.9170206696198957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3127468903423645,0.0,0.7288603161162495,0.0,0.0,0.0,0.0,0.0,0.0,0.09793139380392549,0.0
229627_at,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.09615384042263031,0.09615384042263031
1552788_a_at,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.09615384042263031,0.09615384042263031
1552430_at,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.09615384042263031,0.09615384042263031
204565_at,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.09615384042263031,0.09615384042263031
1554560_at,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.19230768,0.0,0.09615384042263031,0.09615384042263031
211549_s_at,0.0,0.20914529635631848,0.0,0.0,0.0,0.5614886857086687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08853169910324936,0.0
229139_at,0.0,0.7568365331127718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4005609727377288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5864512367581609,0.08719243713043308,0.0
220377_at,0.0,0.0,0.0,0.5645707136846939,0.0,0.0,0.0,0.8095117522036032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3614998019175292,0.08677911339029132,0.0
1554689_a_at,0.038461536,0.7436310450954043,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.0,0.038461536,0.17391722708688648,0.038461536,0.42115802941151037,0.08616608316421612,0.038461536169052124
59625_at,0.15384614,0.0,0.15384614,0.17925757626382455,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.15384614,0.0,0.08588595115129546,0.1538461446762085
213506_at,0.0,0.0,0.0,0.0,0.0,0.44790573936830236,0.0,0.0,0.0,0.583024910591268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5805033885900728,0.08057170192748216,0.0
