,59_SVM,59_LR,MEAN,MEDIAN
208024_s_at,-1.363987232971573,-0.5828621163966413,-0.9734246746841071,-0.9734246746841071
208024_s_at,-1.363987232971573,-0.5828621163966413,-0.9734246746841071,-0.9734246746841071
210075_at,-1.0487288382912425,-0.8881584061996252,-0.9684436222454338,-0.9684436222454338
210075_at,-1.0487288382912425,-0.8881584061996252,-0.9684436222454338,-0.9684436222454338
205293_x_at,-1.002080247569951,-0.8825152991980758,-0.9422977733840134,-0.9422977733840134
205293_x_at,-1.002080247569951,-0.8825152991980758,-0.9422977733840134,-0.9422977733840134
211986_at,-0.851585238319697,-1.022760019443126,-0.9371726288814115,-0.9371726288814115
211986_at,-0.851585238319697,-1.022760019443126,-0.9371726288814115,-0.9371726288814115
220757_s_at,-1.0017390756758477,-0.8659630780340877,-0.9338510768549677,-0.9338510768549677
220757_s_at,-1.0017390756758477,-0.8659630780340877,-0.9338510768549677,-0.9338510768549677
202289_s_at,-1.2305875190500342,-0.6205205873818375,-0.9255540532159359,-0.9255540532159359
202289_s_at,-1.2305875190500342,-0.6205205873818375,-0.9255540532159359,-0.9255540532159359
209869_at,-1.0251439882801479,-0.8246419895255108,-0.9248929889028293,-0.9248929889028293
209869_at,-1.0251439882801479,-0.8246419895255108,-0.9248929889028293,-0.9248929889028293
203753_at,-1.0103804378073,-0.8194014624139356,-0.9148909501106178,-0.9148909501106178
203753_at,-1.0103804378073,-0.8194014624139356,-0.9148909501106178,-0.9148909501106178
202725_at,-1.0252183239875643,-0.8010266093168237,-0.913122466652194,-0.913122466652194
202725_at,-1.0252183239875643,-0.8010266093168237,-0.913122466652194,-0.913122466652194
209603_at,-0.9878533101299914,-0.8355332896323799,-0.9116932998811857,-0.9116932998811857
209603_at,-0.9878533101299914,-0.8355332896323799,-0.9116932998811857,-0.9116932998811857
218205_s_at,-0.983006715582785,-0.8276569998300902,-0.9053318577064375,-0.9053318577064375
218205_s_at,-0.983006715582785,-0.8276569998300902,-0.9053318577064375,-0.9053318577064375
202389_s_at,-1.2124831070604538,-0.5744928675488389,-0.8934879873046464,-0.8934879873046464
202389_s_at,-1.2124831070604538,-0.5744928675488389,-0.8934879873046464,-0.8934879873046464
212338_at,-1.4811377463672575,-0.29462051030343045,-0.887879128335344,-0.887879128335344
212338_at,-1.4811377463672575,-0.29462051030343045,-0.887879128335344,-0.887879128335344
219092_s_at,-1.2936561294669995,-0.4741633100411961,-0.8839097197540978,-0.8839097197540978
219092_s_at,-1.2936561294669995,-0.4741633100411961,-0.8839097197540978,-0.8839097197540978
217930_s_at,-1.263860453393759,-0.49865993338321174,-0.8812601933884854,-0.8812601933884854
217930_s_at,-1.263860453393759,-0.49865993338321174,-0.8812601933884854,-0.8812601933884854
204726_at,-1.1691054565186867,-0.5859053701213459,-0.8775054133200163,-0.8775054133200163
204726_at,-1.1691054565186867,-0.5859053701213459,-0.8775054133200163,-0.8775054133200163
201033_x_at,-1.091240148421057,-0.6595025231127479,-0.8753713357669024,-0.8753713357669024
201033_x_at,-1.091240148421057,-0.6595025231127479,-0.8753713357669024,-0.8753713357669024
218922_s_at,-0.9623879023085841,-0.7842520799039804,-0.8733199911062822,-0.8733199911062822
218922_s_at,-0.9623879023085841,-0.7842520799039804,-0.8733199911062822,-0.8733199911062822
205911_at,-1.1497647960295094,-0.5644868461157468,-0.8571258210726281,-0.8571258210726281
205911_at,-1.1497647960295094,-0.5644868461157468,-0.8571258210726281,-0.8571258210726281
205174_s_at,-1.0976246079641834,-0.6135113259877917,-0.8555679669759875,-0.8555679669759875
205174_s_at,-1.0976246079641834,-0.6135113259877917,-0.8555679669759875,-0.8555679669759875
37117_at,-1.3062709591028052,-0.3867498612417253,-0.8465104101722652,-0.8465104101722652
37117_at,-1.3062709591028052,-0.3867498612417253,-0.8465104101722652,-0.8465104101722652
212067_s_at,-1.043555784931074,-0.6482649944708416,-0.8459103897009578,-0.8459103897009578
212067_s_at,-1.043555784931074,-0.6482649944708416,-0.8459103897009578,-0.8459103897009578
219529_at,-1.1879960610212077,-0.4921595624314694,-0.8400778117263386,-0.8400778117263386
219529_at,-1.1879960610212077,-0.4921595624314694,-0.8400778117263386,-0.8400778117263386
203747_at,-0.780937756318123,-0.8963280544196855,-0.8386329053689043,-0.8386329053689043
203747_at,-0.780937756318123,-0.8963280544196855,-0.8386329053689043,-0.8386329053689043
208248_x_at,-1.215974489938014,-0.4535851956023137,-0.8347798427701638,-0.8347798427701638
208248_x_at,-1.215974489938014,-0.4535851956023137,-0.8347798427701638,-0.8347798427701638
204893_s_at,-0.9710349921158292,-0.6950473235977408,-0.833041157856785,-0.833041157856785
204893_s_at,-0.9710349921158292,-0.6950473235977408,-0.833041157856785,-0.833041157856785
202029_x_at,-1.013509021538594,-0.6505889739714552,-0.8320489977550246,-0.8320489977550246
202029_x_at,-1.013509021538594,-0.6505889739714552,-0.8320489977550246,-0.8320489977550246
202555_s_at,-1.2215949913881547,-0.4223151362409856,-0.8219550638145702,-0.8219550638145702
202555_s_at,-1.2215949913881547,-0.4223151362409856,-0.8219550638145702,-0.8219550638145702
214496_x_at,-0.8907663499763067,-0.7481136203760419,-0.8194399851761742,-0.8194399851761742
214496_x_at,-0.8907663499763067,-0.7481136203760419,-0.8194399851761742,-0.8194399851761742
213349_at,-0.6438999855107111,-0.9837344135300204,-0.8138171995203658,-0.8138171995203658
