,0_RF,1_XGB,3_ExtraTrees,6_RF,7_XGB,9_ExtraTrees,12_RF,13_XGB,15_ExtraTrees,18_RF,19_XGB,21_ExtraTrees,24_RF,25_XGB,27_ExtraTrees,30_RF,31_XGB,33_ExtraTrees,36_RF,37_XGB,39_ExtraTrees,42_RF,43_XGB,45_ExtraTrees,48_RF,49_XGB,51_ExtraTrees,54_RF,55_XGB,57_ExtraTrees,MEAN,MEDIAN
206923_at,0.4074075653646134,0.0,0.5726466573388413,0.457343474828912,0.0,0.16390885468333452,0.0,0.0,0.3815176342112058,0.00767755567805401,0.0,0.22502906468539505,0.0,0.0,0.7737191895398454,0.0,0.0,0.5329397545512932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1507396583627165,0.0
206589_at,0.1919791698552616,0.0,0.0,0.5705354464829335,0.0,0.4956719215943961,0.39925398653573774,0.0,0.19977613461908236,0.0,0.0,0.44532895064488354,0.0,0.0,0.565421471691263,0.28835470891146237,0.0,0.0,0.0,0.0,0.25563740128514767,0.0,0.0,0.0,0.0,0.0,0.8378617606517632,0.0,0.0,0.1620739713752135,0.1470631641215715,0.0
1568713_a_at,0.0,0.0,0.38289708706334413,0.0,0.0,0.0,0.0,0.0,0.4606819425920749,0.43057414107336217,0.0,0.6118404947561991,0.0,0.0,0.1948058613343523,0.49731943389448774,0.0,0.0,0.7733262706419469,0.0,0.2212717916894586,0.4856475215984569,0.0,0.0,0.0,0.0,0.14334954050084672,0.203288005654596,0.0,0.0,0.14683340302663747,0.0
1552301_a_at,0.0,0.21621622,0.0,0.0,0.21621622,0.13208037147325655,0.0,0.21621622,0.2961141784472965,0.0075329853926291756,0.21621622,0.3125846137505486,0.2494876654502029,0.21621622,0.0,0.0,0.21621622,0.24962555819170196,0.0,0.21621622,0.0,0.5400382366371027,0.21621622,0.23939318196966888,0.15605594693771108,0.21621622,0.0,0.020437048387015457,0.21621622,0.0,0.1455170667051576,0.21621622145175934
215117_at,0.0,0.0,0.3217712356069665,0.008965887553013653,0.0,0.0,0.0,0.0,0.49750491206088443,0.49598935086041634,0.0,0.772481657082967,0.0,0.0,0.0,0.4441346136200621,0.0,0.3502247682091674,0.0,0.0,0.34737458576530966,0.0,0.0,0.4228876765859119,0.4798426465765209,0.0,0.0,0.19879727295179198,0.0,0.0,0.1446658202291004,0.0
229139_at,0.48791714527012325,0.0,0.3984432687038869,0.0,0.0,0.0,0.007355724810851723,0.0,0.0,0.6643341814942403,0.0,0.0,0.6094594220439804,0.0,0.0,0.0,0.0,0.7145649257742188,0.0,0.0,0.09868707700785684,0.0,0.0,0.3778351504773972,0.0,0.0,0.8411174112782827,0.0,0.0,0.11126085948819135,0.14369917221163428,0.0
218862_at,0.46700782052565004,0.0,0.0,0.0,0.0,0.0,0.09702466739242727,0.0,0.0,0.582886912217582,0.0,0.0,0.4435136303956825,0.0,0.12402092435215264,0.0,0.0,0.04842079485761292,0.2862355788205956,0.0,0.0876775300921262,0.0,0.0,0.3087647987655737,0.3989037393885668,0.0,0.5206746401349397,0.0,0.0,0.9252301960536173,0.14301204109988422,0.0
1562540_at,0.0,0.1891892,0.0,0.0,0.1891892,0.38999974081123684,0.11632064193522527,0.1891892,0.0,0.0077663739472114916,0.1891892,0.3709742247668949,0.0,0.1891892,0.23624791544239454,0.2803321365298301,0.1891892,0.0,0.0,0.1891892,0.1323094025149704,0.0,0.1891892,0.30010440567744184,0.0,0.1891892,0.0,0.0,0.1891892,0.4394690817027029,0.13884719598857514,0.18918919563293457
207375_s_at,0.5424337331901115,0.0,0.23254634906247823,0.2256339602851755,0.0,0.19292051031114124,0.0,0.0,0.0,0.0,0.0,0.6103174096887333,0.01092311883867517,0.0,0.17574079805919424,0.0,0.0,0.0,0.0,0.0,0.8565747677998488,0.0,0.0,0.32851401666934454,0.0,0.0,0.0,0.0,0.0,0.7132035758169024,0.1296269413240535,0.0
231577_s_at,0.0,0.0,0.28964454159503167,0.0,0.0,0.18923201739194728,0.5422221192449609,0.0,0.09759905966389572,0.45380120251905426,0.0,0.493768957668687,0.0,0.0,0.047758235257283115,0.0,0.0,0.4226001869867463,0.026567066398864005,0.0,0.009255629117409266,0.1533013887373138,0.0,0.0,0.903044477643026,0.0,0.0,0.0,0.0,0.14242459176664718,0.12570731579969555,0.0
