,59_SVM,59_LR,MEAN,MEDIAN
212459_x_at,-0.5291227863376357,-0.5818302218773029,-0.5554765041074693,-0.5554765041074693
217414_x_at,-0.5431405363900824,-0.5678074915130139,-0.5554740139515482,-0.5554740139515482
215358_x_at,-0.5344194707446183,-0.576416950372455,-0.5554182105585366,-0.5554182105585366
205483_s_at,-0.5580989126190004,-0.5501052704801029,-0.5541020915495516,-0.5541020915495516
1557466_at,-0.5255611588389711,-0.5826337489609402,-0.5540974538999557,-0.5540974538999557
214414_x_at,-0.5437330509362945,-0.5640605924348125,-0.5538968216855535,-0.5538968216855535
202270_at,-0.517596799715826,-0.5884963219122641,-0.553046560814045,-0.553046560814045
211699_x_at,-0.5390459261142855,-0.5660737208776636,-0.5525598234959745,-0.5525598234959745
239458_at,-0.5435737452991967,-0.5614604820267072,-0.5525171136629519,-0.5525171136629519
203547_at,-0.5032301958455879,-0.6014359260926586,-0.5523330609691233,-0.5523330609691233
210942_s_at,-0.5062311085417397,-0.597299365128686,-0.5517652368352128,-0.5517652368352128
36475_at,-0.5364814645373003,-0.566863410746683,-0.5516724376419917,-0.5516724376419917
234432_at,-0.5395275960634692,-0.5612372844470215,-0.5503824402552453,-0.5503824402552453
215225_s_at,-0.5436459390025851,-0.5570127012204468,-0.5503293201115159,-0.5503293201115159
222450_at,-0.5508007601606552,-0.5476008758799434,-0.5492008180202993,-0.5492008180202993
1558116_x_at,-0.5275735467914228,-0.5653849479890368,-0.5464792473902298,-0.5464792473902298
211696_x_at,-0.5280642432639966,-0.5638345868972131,-0.5459494150806048,-0.5459494150806048
208999_at,-0.4906254543026089,-0.5979742095141732,-0.544299831908391,-0.544299831908391
203717_at,-0.5215963266031253,-0.5643576420480201,-0.5429769843255727,-0.5429769843255727
217232_x_at,-0.5236705466367247,-0.5622253026424212,-0.542947924639573,-0.542947924639573
217400_at,-0.524912666769936,-0.5600935637570696,-0.5425031152635028,-0.5425031152635028
222764_at,-0.5109367562806505,-0.5726432157247094,-0.54178998600268,-0.54178998600268
233778_at,-0.5271131951025936,-0.556012892907333,-0.5415630440049632,-0.5415630440049632
