,,pred,pred,pred
1132,LR,0.30394164353865366,0.30394164353865366,0.0
1132,MLNN,0.7680931420916174,0.7680931420916174,0.0
1132,NaiveBayes,0.5873783002407362,0.5873783002407362,0.0
1132,RVM,-443640812180.51013,-443640812180.51013,0.0
1132,RandomForest,0.31875054112554113,0.31875054112554113,0.0
1132,SVM,0.3904085620280485,0.3904085620280485,0.0
11496,AdaBoost,0.47207625392972824,0.47207625392972824,0.0
11496,CART,0.0,0.0,0.0
11496,DNN,0.6712929874658584,0.83271524310112,0.3298774524603052
11496,ExtraTrees,0.42991686955729397,0.42991686955729397,0.0
11496,GBM,0.2236093975735337,0.2236093975735337,0.0
11496,LR,0.7904583055102623,0.7904583055102623,0.0
11496,MLNN,0.8706747161315547,0.8706747161315547,0.0
11496,NaiveBayes,0.9685930579937625,0.9685930579937625,0.0
