,0_RF,1_XGB,2_LGBM,3_ExtraTrees,6_RF,7_XGB,8_LGBM,9_ExtraTrees,12_RF,13_XGB,14_LGBM,15_ExtraTrees,18_RF,19_XGB,20_LGBM,21_ExtraTrees,24_RF,25_XGB,26_LGBM,27_ExtraTrees,30_RF,31_XGB,32_LGBM,33_ExtraTrees,36_RF,37_XGB,38_LGBM,39_ExtraTrees,42_RF,43_XGB,44_LGBM,45_ExtraTrees,48_RF,49_XGB,50_LGBM,51_ExtraTrees,54_RF,55_XGB,56_LGBM,57_ExtraTrees,MEAN,MEDIAN
204503_at,0.0,0.0,0.0,0.348768148886088,0.5335639759384289,0.0,0.0,0.0494120152165354,0.46667990812896953,0.0,0.0,0.0,0.4890826931144673,0.0,0.0,0.24129830931391155,0.0,0.0,0.0,0.20734994912496243,0.0,0.0,0.0,0.1673700239406929,0.25413829413749023,0.0,0.0,0.44246820385399876,0.009437229032820807,0.0,0.0,0.02501661712329044,0.0,0.0,0.0,0.0,0.48260335865305354,0.0,0.0,0.0,0.09292971816161774,0.0
33322_i_at,0.519657402570024,0.0,0.0,0.0,0.0,0.0,0.0,0.048620821460785904,0.0,0.0,0.0,0.11785105530786798,0.0,0.0,0.0,0.4527682168671468,0.6753258480231283,0.0,0.0,0.10757469206224599,0.0,0.0,0.0,0.10733342149737331,0.0,0.0,0.0,0.647117776252433,0.3485699479046389,0.0,0.0,0.0,0.0,0.0,0.0,0.055985103927248,0.5042049073503769,0.0,0.0,0.11546635475399596,0.09251188869943164,0.0
205064_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4412280458061154,0.05895715205617334,0.0,0.0,0.05681741328559918,0.0,0.0,0.0,0.8186866487896546,0.0,0.0,0.0,0.6733992242100557,0.2731337098641293,0.0,0.0,0.03894069726904169,0.33303178342911705,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09235486686774716,0.0
207818_s_at,0.0,0.02,0.3333333333333333,0.0,0.0,0.02,0.3333333333333333,0.019206850019810866,0.07142552124418344,0.02,0.3333333333333333,0.0,0.0,0.02,0.3333333333333333,0.0,0.0,0.02,0.3333333333333333,0.0,0.0,0.02,0.3333333333333333,0.0,0.0,0.02,0.3333333333333333,0.0,0.045388524836653794,0.02,0.3333333333333333,0.0,0.0,0.02,0.3333333333333333,0.0,0.0,0.02,0.3333333333333333,0.0,0.09173385562409082,0.019999999552965164
212346_s_at,0.04572833342702346,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.005537869814485517,0.0,0.3333333333333333,0.1364740690546625,0.0,0.0,0.3333333333333333,0.013709582744245288,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.07733570876120549,0.0,0.0,0.3333333333333333,0.0,0.09030297242837389,0.0
211296_x_at,0.05161210614429505,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.19449926896634662,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.021680148718459386,0.0,0.3333333333333333,0.0,0.09002812142906085,0.0
200606_at,0.0,0.099999994,0.0,0.0,0.0,0.099999994,0.0,0.0,0.0,0.099999994,0.0,0.0,0.0,0.099999994,0.0,0.0,0.0,0.099999994,0.0,0.4049035913990419,0.0,0.099999994,0.0,0.0,0.0,0.099999994,0.0,0.0,0.0,0.099999994,0.0,0.5487165288392327,0.437137754458461,0.099999994,0.0,0.7365400798536725,0.4499443281247452,0.099999994,0.0,0.0018453732344517514,0.08947718990762402,0.0
209270_at,0.0,0.0,0.0,0.39870004646502316,0.0,0.0,0.0,0.0,0.07506797806932869,0.0,0.0,0.0,0.3900437915952718,0.0,0.0,0.0,0.3261144297454426,0.0,0.0,0.0,0.9381829704033572,0.0,0.0,0.0,0.2920275234481934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8806859663203989,0.0,0.0,0.23074873447005362,0.08828928601292674,0.0
202086_at,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.02530995068358364,0.0,0.3333333333333333,0.0,0.1226750315302377,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.04819749964390146,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0882378953797764,0.0
213350_at,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.03086896841940206,0.0,0.0,0.3333333333333333,0.004440437369007526,0.1123354448501482,0.0,0.3333333333333333,0.0,0.04242268163597336,0.0,0.3333333333333333,0.0,0.0880850216401966,0.0
211043_s_at,0.4318510001761108,0.0,0.0,0.4818824598027884,0.47131100688941535,0.0,0.0,0.0,0.0,0.0,0.0,0.1618848966316975,0.0,0.0,0.0,0.23634214004974044,0.0,0.0,0.0,0.0343319061163843,0.5130649537001938,0.0,0.0,0.14514025881816442,0.0,0.0,0.0,0.06428144932888356,0.0,0.0,0.0,0.3559973927444965,0.0,0.0,0.0,0.5655077345643362,0.0,0.0,0.0,0.04661308406929512,0.08770520707228766,0.0
202504_at,0.0,0.0,0.0,0.006756667442881399,0.5081199783035992,0.0,0.0,0.0,0.22577705276916804,0.0,0.0,0.0,0.862626579482951,0.0,0.0,0.0,0.0,0.0,0.0,0.20478290984552516,0.4558212806744454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296682429273595,0.0,0.0,0.004213881565541861,0.45332480388850294,0.0,0.0,0.06336270774372889,0.4044393400359596,0.0,0.0,0.0,0.08714769077564746,0.0
205490_x_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4112105964769304,0.16394079660544594,0.0,0.0,0.3660102727294803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4184012731924453,0.29010036472435213,0.0,0.0,0.0,0.2942610453758169,0.0,0.0,0.3513971952644028,0.41623774009231906,0.0,0.0,0.7475308522469424,0.0,0.0,0.0,0.0,0.08647725341770338,0.0
204948_s_at,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.09422896947338481,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.08568905757016795,0.0
205916_at,0.0,0.0,0.0,0.5401221943581862,0.10099362429496161,0.0,0.0,0.0,0.46780830673931334,0.0,0.0,0.0,0.41856320127191604,0.0,0.0,0.04065046651103954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010168930797992484,0.0,0.0,0.0,0.49899975329561164,0.0,0.0,0.0,0.34708468131223763,0.0,0.0,0.0,0.07199244385677953,0.926646657180956,0.0,0.0,0.0,0.08557575649047486,0.0
221626_at,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.021333487216896527,0.0,0.3333333333333333,0.02868795450727575,0.0,0.0,0.3333333333333333,0.004904718765377588,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.022608135311583337,0.08527169072836165,0.0
202029_x_at,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.040881267481595596,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.004954662768542678,0.0,0.0,0.3333333333333333,0.008329721636981457,0.016394954015845162,0.0,0.3333333333333333,0.005087593932164454,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.08522453832921156,0.0
204750_s_at,0.8209604639610862,0.0,0.0,0.547637772438998,0.489539054562504,0.0,0.0,0.1069412790202242,0.0,0.0,0.0,0.21570475668511363,0.0,0.0,0.0,0.35294099059200434,0.0,0.0,0.0,0.3427197880125633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4422841927473281,0.0,0.0,0.07438720876175273,0.08482788766953937,0.0
222349_x_at,0.0,0.0,0.3333333333333333,0.02547806303385733,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.018378103149441057,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.08442973748791578,0.0
208633_s_at,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.010034513356464147,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.03150103923711284,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.08437172214817275,0.0
208851_s_at,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.026644933563250935,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0839994566724146,0.0
210633_x_at,0.4499890239547445,0.0,0.0,0.11247691933201429,0.0,0.0,0.0,0.11466466999019553,0.0,0.0,0.0,0.39621049210368875,0.37027327319253794,0.0,0.0,0.5719077808478946,0.0,0.0,0.0,0.38669494960001594,0.4859647077008337,0.0,0.0,0.0,0.0,0.0,0.0,0.12179364357084135,0.312771322131694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032543302328999886,0.08388225211883651,0.0
201650_at,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.004069931339460915,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.005474267263281271,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.005930662494392088,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.08372020486076168,0.0
