,LR,SVM,MEAN
212489_at,0.6068419312231259,0.5568189788880968,0.5818304550556114
65635_at,0.5759516367064665,0.5875989544600283,0.5817752955832474
206879_s_at,0.5900451619474594,0.5665815397114617,0.5783133508294606
228792_at,0.5557698488579969,0.597467793411931,0.5766188211349639
219327_s_at,0.5781751605881995,0.5721159018972489,0.5751455312427243
229678_at,0.6087536515546348,0.5382978525929619,0.5735257520737984
244631_at,0.5775328577767809,0.5649996333037495,0.5712662455402652
232875_at,0.5683280478719803,0.5704164745732281,0.5693722612226042
1558280_s_at,0.5483388220674326,0.5881856545398727,0.5682622383036526
209627_s_at,0.5973881938919562,0.5383841990153061,0.5678861964536311
1570038_at,0.5793093794914381,0.5561949623236376,0.5677521709075379
207908_at,0.6049914274304672,0.530372741092248,0.5676820842613576
229532_at,0.5846256454987044,0.5483843951862876,0.566505020342496
205609_at,0.5687033994421968,0.5638874186362737,0.5662954090392353
207584_at,0.5612812510120274,0.5705773412345061,0.5659292961232667
1565999_at,0.5883914155948329,0.5426388806502256,0.5655151481225292
237176_at,0.565682320743016,0.5646921320040001,0.565187226373508
1552939_at,0.5749566951965159,0.5522621523534709,0.5636094237749933
214468_at,0.5736173045094495,0.5520668592149888,0.5628420818622191
1555055_at,0.54164887608342,0.5825558694670031,0.5621023727752116
228780_at,0.5718668531411514,0.5516627693944731,0.5617648112678122
243625_at,0.5630191509885533,0.5593802102604806,0.561199680624517
220296_at,0.5956546928374461,0.525890524251026,0.560772608544236
207658_s_at,0.5699986775203327,0.5508919421608104,0.5604453098405715
1564435_a_at,0.5834982027307045,0.5320390386644304,0.5577686206975674
206857_s_at,0.5745164183319661,0.5383184239713549,0.5564174211516605
209921_at,0.5582936541692951,0.5536097589104341,0.5559517065398646
203692_s_at,0.5664168875629058,0.5453867791206927,0.5559018333417992
231936_at,0.6015573834801884,0.5086124417182714,0.5550849125992299
1566624_at,0.5660970007222983,0.5427998766415586,0.5544484386819284
203671_at,0.5614133926149286,0.5472659478711283,0.5543396702430284
207160_at,0.5759477717546767,0.5314166642475567,0.5536822180011167
1562169_at,0.5452064849291863,0.5591283191706776,0.552167402049932
243924_at,0.5733547485673345,0.5232769621618755,0.548315855364605
229936_at,0.5474233182276649,0.5488950258464566,0.5481591720370607
219073_s_at,0.5462306158372473,0.5454199320070406,0.545825273922144
234849_at,0.5210036796414709,0.5705563006524325,0.5457799901469517
203522_at,0.5596353681034766,0.5311628707325886,0.5453991194180325
1559494_at,0.552045328319493,0.5362271147521609,0.544136221535827
