,59_SVM,59_LR,MEAN,MEDIAN
205990_s_at,-0.741627606490824,-0.7958309576602365,-0.7687292820755303,-0.7687292820755303
202504_at,-0.654950005753145,-0.877553643005054,-0.7662518243790994,-0.7662518243790994
209156_s_at,-0.6690274851531909,-0.8622628652544019,-0.7656451752037964,-0.7656451752037964
217744_s_at,-0.6685783362986211,-0.851625092500302,-0.7601017143994615,-0.7601017143994615
220414_at,-0.6892968380200748,-0.829090379555709,-0.7591936087878919,-0.7591936087878919
219998_at,-0.7004033880143027,-0.8170233200478422,-0.7587133540310724,-0.7587133540310724
209373_at,-0.6544905020987647,-0.8587091589277859,-0.7565998305132753,-0.7565998305132753
202587_s_at,-0.6871126582895709,-0.824746667932244,-0.7559296631109075,-0.7559296631109075
204136_at,-0.6425130429433885,-0.8675705663860596,-0.755041804664724,-0.755041804664724
207017_at,-0.7210928227047444,-0.7884719139062583,-0.7547823683055013,-0.7547823683055013
214765_s_at,-0.6436634417770685,-0.8618888173063841,-0.7527761295417263,-0.7527761295417263
204135_at,-0.6866044085946379,-0.8156103022761741,-0.751107355435406,-0.751107355435406
204324_s_at,-0.7076826589663112,-0.7876155208681931,-0.7476490899172521,-0.7476490899172521
206453_s_at,-0.6480255132024155,-0.8468849407492551,-0.7474552269758353,-0.7474552269758353
211920_at,-0.6943544149901782,-0.7960784689902756,-0.745216441990227,-0.745216441990227
200696_s_at,-0.6362959827465073,-0.8541141355095551,-0.7452050591280313,-0.7452050591280313
222223_s_at,-0.6762159199435416,-0.8030343604951801,-0.7396251402193608,-0.7396251402193608
209872_s_at,-0.6425460965928198,-0.8364527139507889,-0.7394994052718044,-0.7394994052718044
219695_at,-0.7081604545860535,-0.7686227654919391,-0.7383916100389962,-0.7383916100389962
220412_x_at,-0.6020129712945621,-0.8721138890276164,-0.7370634301610892,-0.7370634301610892
207324_s_at,-0.6906699146020527,-0.7774467808529174,-0.7340583477274851,-0.7340583477274851
218562_s_at,-0.6922661777607134,-0.7721072949008023,-0.7321867363307579,-0.7321867363307579
220225_at,-0.5892700350435727,-0.8747199475994887,-0.7319949913215307,-0.7319949913215307
204971_at,-0.636334198985924,-0.8182796845563439,-0.727306941771134,-0.727306941771134
221334_s_at,-0.688014664760862,-0.7585365166464872,-0.7232755907036746,-0.7232755907036746
200719_at,-0.6377600920117132,-0.8044213924302982,-0.7210907422210058,-0.7210907422210058
214744_s_at,-0.6228443930868289,-0.8173725186208007,-0.7201084558538149,-0.7201084558538149
214076_at,-0.6732901175227365,-0.764511488643274,-0.7189008030830053,-0.7189008030830053
212063_at,-0.6222373686369694,-0.8133656577571231,-0.7178015131970463,-0.7178015131970463
215222_x_at,-0.6446401866246327,-0.7903751593706314,-0.7175076729976321,-0.7175076729976321
206211_at,-0.6879393792139633,-0.7456695800677406,-0.7168044796408519,-0.7168044796408519
207720_at,-0.6346448957242238,-0.7955256542924332,-0.7150852750083285,-0.7150852750083285
203081_at,-0.6010048583984517,-0.8236132747373347,-0.7123090665678933,-0.7123090665678933
208776_at,-0.6397446761276864,-0.7810959215816943,-0.7104202988546904,-0.7104202988546904
