,0_RF,1_XGB,2_LGBM,3_ExtraTrees,MEAN,MEDIAN
235971_at,0.0,0.029411767,0.0,0.17122273286842415,0.050158624886629755,0.029411766678094864
1560625_s_at,0.0,0.029411767,0.0,0.1669590917898949,0.04909271461699744,0.029411766678094864
215784_at,0.11311096725711506,0.073529415,0.0,0.00617651658072609,0.04820422466760829,0.04820422466760829
228097_at,0.14821128158489744,0.0,0.0,0.04375288325520229,0.04799104121002493,0.04375288325520229
208715_at,0.14022671467379128,0.04411765,0.0,0.005836808168786211,0.04754529274926866,0.04411764815449715
215117_at,0.0,0.029411767,0.0,0.15004427274127727,0.04486400985484303,0.029411766678094864
219693_at,0.03169848006049758,0.0,0.0,0.14683846500947306,0.04463423626749266,0.03169848006049758
237403_at,0.0,0.0,0.0,0.17437884402150744,0.04359471100537686,0.0
218862_at,0.0,0.102941185,0.0,0.07096393058237112,0.04347627895458707,0.04347627895458707
227168_at,0.13423327149530379,0.029411767,0.0,0.009198321940404179,0.04321084002845071,0.029411766678094864
206135_at,0.0,0.014705883,0.0,0.15205317847458638,0.04168976545340845,0.014705883339047432
201590_x_at,0.09430441452242164,0.014705883,0.0,0.05543917826014371,0.0411123690304032,0.0411123690304032
221870_at,0.12579944730955578,0.029411767,0.0,0.00021229037025193346,0.03885587608947565,0.029411766678094864
55705_at,0.0,0.0,0.0,0.15193876373485454,0.037984690933713636,0.0
202794_at,0.14907544658180494,0.0,0.0,0.0,0.037268861645451234,0.0
209794_at,0.0,0.0,0.0,0.14605837443096617,0.03651459360774154,0.0
212022_s_at,0.0,0.0,0.0,0.14148178374569692,0.03537044593642423,0.0
204328_at,0.0,0.0,0.0,0.13925791312252347,0.03481447828063087,0.0
223130_s_at,0.007482485200013965,0.0,0.0,0.13066682391620446,0.034537327279054605,0.007482485200013965
207455_at,0.006998914234392941,0.014705883,0.0,0.11481471382335999,0.03412987784920009,0.014705883339047432
217512_at,0.06425078995257706,0.014705883,0.0,0.05360527023883048,0.03314048588261374,0.03314048588261374
219703_at,0.0,0.13235295,0.0,0.0,0.033088237047195435,0.0
220865_s_at,0.10742086458741161,0.0,0.0,0.023446163057862984,0.032716756911318645,0.023446163057862984
40016_g_at,0.10590511557875051,0.0,0.0,0.019618807346069977,0.03138098073120512,0.019618807346069977
236908_at,0.006179548624874997,0.11764707,0.0,0.0,0.030956653834313612,0.006179548624874997
207688_s_at,0.005643429568040351,0.0,0.0,0.11255848367476409,0.029550478310701112,0.005643429568040351
206907_at,0.006935034227150727,0.0,0.0,0.10833931984567222,0.028818588518205734,0.006935034227150727
227819_at,0.09075706124067018,0.0,0.0,0.021016746654939696,0.027943451973902467,0.021016746654939696
201105_at,0.09358991103790736,0.014705883,0.0,0.0,0.027073948594238697,0.014705883339047432
222978_at,0.0,0.0,0.0,0.1046923724778474,0.02617309311946185,0.0
221764_at,0.09703980754139556,0.0,0.0,0.0,0.02425995188534889,0.0
212141_at,0.004088392892163787,0.0,0.0,0.09217529937243626,0.024065923066150012,0.004088392892163787
229139_at,0.0,0.0,0.0,0.09348906389653674,0.023372265974134186,0.0
202251_at,0.0,0.014705883,0.0,0.07543690996476489,0.02253569832595308,0.014705883339047432
210044_s_at,0.0,0.0,0.0,0.08548521590447003,0.021371303976117507,0.0
204162_at,0.006094364941931727,0.0,0.0,0.07771204576302149,0.020951602676238305,0.006094364941931727
235113_at,0.0,0.014705883,0.0,0.0655110007588748,0.020054221024480557,0.014705883339047432
238782_at,0.005785020990894411,0.0,0.0,0.06760222530641576,0.01834681157432754,0.005785020990894411
212489_at,0.006254884636691201,0.0,0.0,0.06238840701839385,0.017160822913771263,0.006254884636691201
205232_s_at,0.0,0.014705883,0.0,0.0512437233138364,0.016487401663220956,0.014705883339047432
206310_at,0.06493074273212794,0.0,0.0,0.0,0.016232685683031985,0.0
225611_at,0.031516081797211395,0.014705883,0.0,0.017244593534255934,0.01586663966762869,0.01586663966762869
221087_s_at,0.0628463698092982,0.0,0.0,0.0,0.01571159245232455,0.0
209457_at,0.0,0.058823533,0.0,0.0,0.014705883339047432,0.0
206591_at,0.00675417758526426,0.04411765,0.0,0.0,0.012717956434940352,0.00675417758526426
218084_x_at,0.005997464790165217,0.0,0.0,0.043822998701501616,0.012455115872916709,0.005997464790165217
229678_at,0.0,0.04411765,0.0,0.004976328485750514,0.012273494160061914,0.004976328485750514
202262_x_at,0.0,0.014705883,0.0,0.03356231560647789,0.01206704973638133,0.01206704973638133
1570124_at,0.04425300660316878,0.0,0.0,0.0,0.011063251650792196,0.0
209931_s_at,0.0,0.04411765,0.0,0.0,0.011029412038624287,0.0
213367_at,0.0,0.0,0.0,0.04370416187957827,0.010926040469894567,0.0
231577_s_at,0.0,0.0,0.0,0.04242711527600343,0.010606778819000857,0.0
226661_at,0.00623672876554154,0.029411767,0.0,0.0,0.008912123860909102,0.00623672876554154
237507_at,0.0,0.0,0.0,0.033229167051590965,0.008307291762897741,0.0
219145_at,0.0,0.0,0.0,0.03322903353273585,0.008307258383183962,0.0
203401_at,0.0,0.029411767,0.0,0.0,0.007352941669523716,0.0
218638_s_at,0.0,0.029411767,0.0,0.0,0.007352941669523716,0.0
227944_at,0.0,0.014705883,0.0,0.01374429255589713,0.007112543973736141,0.007112543973736141
203544_s_at,0.025294725390489176,0.0,0.0,0.0,0.006323681347622294,0.0
202551_s_at,0.023964674928872057,0.0,0.0,0.0,0.005991168732218014,0.0
205107_s_at,0.0,0.014705883,0.0,0.0,0.003676470834761858,0.0
222037_at,0.0,0.014705883,0.0,0.0,0.003676470834761858,0.0
217865_at,0.0,0.0,0.0,0.012130878300109511,0.003032719575027378,0.0
202702_at,0.0,0.0,0.0,0.01091616094913293,0.0027290402372832324,0.0
229192_s_at,0.0,0.0,0.0,0.006387328961319253,0.0015968322403298132,0.0
231948_s_at,0.005788132890297794,0.0,0.0,0.0,0.0014470332225744486,0.0
214950_at,0.0,0.0,0.0,0.0,0.0,0.0
225128_at,0.0,0.0,0.0,0.0,0.0,0.0
210676_x_at,0.0,0.0,0.0,0.0,0.0,0.0
243806_at,0.0,0.0,0.0,0.0,0.0,0.0
206752_s_at,0.0,0.0,0.0,0.0,0.0,0.0
206749_at,0.0,0.0,0.0,0.0,0.0,0.0
223129_x_at,0.0,0.0,0.0,0.0,0.0,0.0
206095_s_at,0.0,0.0,0.0,0.0,0.0,0.0
211052_s_at,0.0,0.0,0.0,0.0,0.0,0.0
202572_s_at,0.0,0.0,0.0,0.0,0.0,0.0
223556_at,0.0,0.0,0.0,0.0,0.0,0.0
204768_s_at,0.0,0.0,0.0,0.0,0.0,0.0
213093_at,0.0,0.0,0.0,0.0,0.0,0.0
203325_s_at,0.0,0.0,0.0,0.0,0.0,0.0
203729_at,0.0,0.0,0.0,0.0,0.0,0.0
