,59_SVM,59_LR,MEAN,MEDIAN
219093_at,-0.47608503684545767,-0.7128761609967516,-0.5944805989211046,-0.5944805989211046
220734_s_at,-0.5397053725816322,-0.6490769463087167,-0.5943911594451745,-0.5943911594451745
209210_s_at,-0.5046566566485527,-0.6816115112725876,-0.5931340839605701,-0.5931340839605701
212323_s_at,-0.5614699959466871,-0.6217834977943777,-0.5916267468705324,-0.5916267468705324
204669_s_at,-0.5670579047083114,-0.6123809370087813,-0.5897194208585463,-0.5897194208585463
209433_s_at,-0.5243632832134902,-0.6510858737317027,-0.5877245784725964,-0.5877245784725964
202669_s_at,-0.5512694990202205,-0.6152160695216986,-0.5832427842709595,-0.5832427842709595
204799_at,-0.5411691301449874,-0.6252877760801985,-0.5832284531125929,-0.5832284531125929
210250_x_at,-0.4870441039622689,-0.6769146583528869,-0.5819793811575779,-0.5819793811575779
221573_at,-0.5528279454617022,-0.6082661390513615,-0.5805470422565319,-0.5805470422565319
203667_at,-0.5157534747921726,-0.6432377530842779,-0.5794956139382252,-0.5794956139382252
206753_at,-0.4644379623179699,-0.6915797901258766,-0.5780088762219232,-0.5780088762219232
215222_x_at,-0.5431059065400682,-0.611812848978661,-0.5774593777593646,-0.5774593777593646
201589_at,-0.4925956413549145,-0.6620851012734826,-0.5773403713141986,-0.5773403713141986
204593_s_at,-0.5030985383649229,-0.6432155893517414,-0.5731570638583321,-0.5731570638583321
200967_at,-0.42012852786807514,-0.7227526196738242,-0.5714405737709497,-0.5714405737709497
207629_s_at,-0.4324076900449328,-0.7084581752617343,-0.5704329326533335,-0.5704329326533335
217272_s_at,-0.3936559694307065,-0.7456109030515926,-0.5696334362411496,-0.5696334362411496
209078_s_at,-0.37979924213306104,-0.7561815826505731,-0.5679904123918171,-0.5679904123918171
201921_at,-0.43875280340744377,-0.6949626574972858,-0.5668577304523648,-0.5668577304523648
218340_s_at,-0.42041670602511644,-0.7085220993797332,-0.5644694027024248,-0.5644694027024248
205885_s_at,-0.5067263018257987,-0.6210774890591199,-0.5639018954424593,-0.5639018954424593
220412_x_at,-0.48896747633482973,-0.638200546952078,-0.5635840116434538,-0.5635840116434538
210970_s_at,-0.41948713069417254,-0.7045130016528103,-0.5620000661734914,-0.5620000661734914
210470_x_at,-0.42159340951572744,-0.7017413565729481,-0.5616673830443377,-0.5616673830443377
219169_s_at,-0.4781715778169242,-0.6447265275440358,-0.5614490526804801,-0.5614490526804801
219926_at,-0.5030571268115008,-0.6185969034345151,-0.5608270151230079,-0.5608270151230079
213476_x_at,-0.526636519520771,-0.594192497825528,-0.5604145086731495,-0.5604145086731495
212722_s_at,-0.44097873367199386,-0.6768233995897017,-0.5589010666308478,-0.5589010666308478
220661_s_at,-0.4328469986476893,-0.6760831752058092,-0.5544650869267492,-0.5544650869267492
205078_at,-0.5210228745088403,-0.5853010075744555,-0.553161941041648,-0.553161941041648
213518_at,-0.4295605804878318,-0.6731724609378786,-0.5513665207128552,-0.5513665207128552
201447_at,-0.49067756365742343,-0.6101870193230292,-0.5504322914902263,-0.5504322914902263
212582_at,-0.5368887524746455,-0.5638770253589118,-0.5503828889167787,-0.5503828889167787
