,17_SVM,MEAN,MEDIAN
208592_s_at,0.41134484179566333,0.41134484179566333,0.41134484179566333
208592_s_at,0.41134484179566333,0.41134484179566333,0.41134484179566333
218638_s_at,0.4169665209169089,0.4169665209169089,0.4169665209169089
218638_s_at,0.4169665209169089,0.4169665209169089,0.4169665209169089
228667_at,0.4276282680921462,0.4276282680921462,0.4276282680921462
228667_at,0.4276282680921462,0.4276282680921462,0.4276282680921462
219693_at,0.4276610706136744,0.4276610706136744,0.4276610706136744
219693_at,0.4276610706136744,0.4276610706136744,0.4276610706136744
203325_s_at,0.4290658966956995,0.4290658966956995,0.4290658966956995
203325_s_at,0.4290658966956995,0.4290658966956995,0.4290658966956995
208501_at,0.4444199916863805,0.4444199916863805,0.4444199916863805
208501_at,0.4444199916863805,0.4444199916863805,0.4444199916863805
212489_at,0.4471341560365233,0.4471341560365233,0.4471341560365233
212489_at,0.4471341560365233,0.4471341560365233,0.4471341560365233
223600_s_at,0.4784906121245546,0.4784906121245546,0.4784906121245546
223600_s_at,0.4784906121245546,0.4784906121245546,0.4784906121245546
206726_at,0.4813921183631403,0.4813921183631403,0.4813921183631403
206726_at,0.4813921183631403,0.4813921183631403,0.4813921183631403
227134_at,0.4850415027694229,0.4850415027694229,0.4850415027694229
227134_at,0.4850415027694229,0.4850415027694229,0.4850415027694229
229678_at,0.4938742457486574,0.4938742457486574,0.4938742457486574
229678_at,0.4938742457486574,0.4938742457486574,0.4938742457486574
205910_s_at,0.49937860341290374,0.49937860341290374,0.49937860341290374
205910_s_at,0.49937860341290374,0.49937860341290374,0.49937860341290374
225611_at,0.5002546785584298,0.5002546785584298,0.5002546785584298
225611_at,0.5002546785584298,0.5002546785584298,0.5002546785584298
45297_at,0.5043318955612398,0.5043318955612398,0.5043318955612398
45297_at,0.5043318955612398,0.5043318955612398,0.5043318955612398
212488_at,0.5396682619021547,0.5396682619021547,0.5396682619021547
212488_at,0.5396682619021547,0.5396682619021547,0.5396682619021547
213367_at,0.5459945521985348,0.5459945521985348,0.5459945521985348
213367_at,0.5459945521985348,0.5459945521985348,0.5459945521985348
225791_at,0.5821577096219138,0.5821577096219138,0.5821577096219138
225791_at,0.5821577096219138,0.5821577096219138,0.5821577096219138
203522_at,0.5859080889997026,0.5859080889997026,0.5859080889997026
203522_at,0.5859080889997026,0.5859080889997026,0.5859080889997026
1552742_at,0.6029664830378476,0.6029664830378476,0.6029664830378476
1552742_at,0.6029664830378476,0.6029664830378476,0.6029664830378476
204692_at,0.6432456078398336,0.6432456078398336,0.6432456078398336
204692_at,0.6432456078398336,0.6432456078398336,0.6432456078398336
223748_at,0.6650187582478919,0.6650187582478919,0.6650187582478919
223748_at,0.6650187582478919,0.6650187582478919,0.6650187582478919
1556945_a_at,0.6999208799952893,0.6999208799952893,0.6999208799952893
1556945_a_at,0.6999208799952893,0.6999208799952893,0.6999208799952893
223575_at,0.7021529886328436,0.7021529886328436,0.7021529886328436
223575_at,0.7021529886328436,0.7021529886328436,0.7021529886328436
215784_at,0.7229350570884611,0.7229350570884611,0.7229350570884611
215784_at,0.7229350570884611,0.7229350570884611,0.7229350570884611
215807_s_at,0.7304633829951273,0.7304633829951273,0.7304633829951273
215807_s_at,0.7304633829951273,0.7304633829951273,0.7304633829951273
209661_at,0.9329693206951597,0.9329693206951597,0.9329693206951597
209661_at,0.9329693206951597,0.9329693206951597,0.9329693206951597
209626_s_at,1.0,1.0,1.0
209626_s_at,1.0,1.0,1.0
