,ID,pred,method,target,run
128,GSM207940,0.1279177766961274,NaiveBayes,Genotype: primary tumor,0
129,GSM207940,0.21364325225086947,LR,Genotype: primary tumor,0
130,GSM207940,0.19033470749855042,DNN,Genotype: primary tumor,0
131,GSM207940,0.24369104179032436,MLNN,Genotype: primary tumor,0
132,GSM207941,0.004650696607253949,GBM,Genotype: primary tumor,0
133,GSM207941,0.053419459611177444,XGB,Genotype: primary tumor,0
134,GSM207941,0.44565465462578,AdaBoost,Genotype: primary tumor,0
135,GSM207941,0.019904761904761904,RandomForest,Genotype: primary tumor,0
136,GSM207941,0.2794376188749863,ExtraTrees,Genotype: primary tumor,0
137,GSM207941,0.17621363699436188,DNN,Genotype: primary tumor,0
138,GSM207941,0.0007860229005694381,NaiveBayes,Genotype: primary tumor,0
139,GSM207941,0.14604350065280508,RVM,Genotype: primary tumor,0
140,GSM207941,0.010837638475665736,LR,Genotype: primary tumor,0
141,GSM207941,0.018129140622484396,SVM,Genotype: primary tumor,0
142,GSM207941,0.2423179923180608,MLNN,Genotype: primary tumor,0
143,GSM207942,0.004110463038613299,GBM,Genotype: primary tumor,0
144,GSM207942,0.005685222578737809,NaiveBayes,Genotype: primary tumor,0
145,GSM207942,0.053419459611177444,XGB,Genotype: primary tumor,0
146,GSM207942,0.3039161337444624,ExtraTrees,Genotype: primary tumor,0
147,GSM207942,0.024761904761904763,RandomForest,Genotype: primary tumor,0
148,GSM207942,0.052279997236652075,SVM,Genotype: primary tumor,0
149,GSM207942,0.24245356470978896,MLNN,Genotype: primary tumor,0
150,GSM207942,0.1777334213256836,DNN,Genotype: primary tumor,0
151,GSM207942,0.22564022627530583,RVM,Genotype: primary tumor,0
152,GSM207942,0.44565465462578,AdaBoost,Genotype: primary tumor,0
153,GSM207942,0.035189702599841145,LR,Genotype: primary tumor,0
154,GSM207943,0.01222735416192707,SVM,Genotype: primary tumor,0
155,GSM207943,0.00037542433366459743,NaiveBayes,Genotype: primary tumor,0
156,GSM207943,0.006981501336132719,LR,Genotype: primary tumor,0
157,GSM207943,0.2794376188749863,ExtraTrees,Genotype: primary tumor,0
158,GSM207943,0.11668077307812869,RVM,Genotype: primary tumor,0
159,GSM207943,0.019904761904761904,RandomForest,Genotype: primary tumor,0
160,GSM207943,0.004650696607253949,GBM,Genotype: primary tumor,0
161,GSM207943,0.17590846121311188,DNN,Genotype: primary tumor,0
162,GSM207943,0.2422919386914809,MLNN,Genotype: primary tumor,0
163,GSM207943,0.44565465462578,AdaBoost,Genotype: primary tumor,0
164,GSM207943,0.053419459611177444,XGB,Genotype: primary tumor,0
165,GSM207944,0.053419459611177444,XGB,Genotype: primary tumor,0
166,GSM207944,0.019904761904761904,RandomForest,Genotype: primary tumor,0
167,GSM207944,0.3039161337444624,ExtraTrees,Genotype: primary tumor,0
168,GSM207944,0.034606568267632525,LR,Genotype: primary tumor,0
169,GSM207944,0.05149915774643407,SVM,Genotype: primary tumor,0
170,GSM207944,0.17769990861415863,DNN,Genotype: primary tumor,0
