,0_RF,1_XGB,3_ExtraTrees,6_RF,7_XGB,9_ExtraTrees,12_RF,13_XGB,15_ExtraTrees,18_RF,19_XGB,21_ExtraTrees,24_RF,25_XGB,27_ExtraTrees,30_RF,31_XGB,33_ExtraTrees,36_RF,37_XGB,39_ExtraTrees,42_RF,43_XGB,45_ExtraTrees,48_RF,49_XGB,51_ExtraTrees,54_RF,55_XGB,57_ExtraTrees,MEAN,MEDIAN
206907_at,0.11736342101919142,0.0,0.3119583884593478,0.5247647648551345,0.0,0.6573278430969687,0.32778405147534784,0.0,0.3765797353938329,0.07244156986003486,0.0,0.36551593887982664,0.0,0.0,0.24246739206122692,0.05070079626864326,0.0,0.0,0.0,0.0,0.4947274256687926,0.2393456984759226,0.0,0.1433989093426865,0.121645219237689,0.0,0.007842467954341467,0.0,0.0,0.656985479731017,0.15702830339266682,0.05070079626864326
230756_at,0.0,0.22222222,0.06375772135980831,0.015307193320628503,0.22222222,0.2702741857103998,0.0,0.22222222,0.0,0.06708364740778176,0.22222222,0.006058620912956002,0.037266680203449074,0.22222222,0.02436612270336377,0.0,0.22222222,0.2732402530300443,1.0,0.22222222,0.10700982127787596,0.0,0.22222222,0.04752905725263374,0.189232333915187,0.22222222,0.0,0.0667853344261821,0.22222222,0.2313354154144708,0.15404895419046163,0.15404895419046163
230932_at,0.05170755423162908,0.0,0.6027151772028689,0.04503934263392532,0.0,0.46537002578160386,0.3974139422876865,0.0,0.016740388769981907,0.05187167589161533,0.0,0.33008682046083726,0.30282298324472456,0.0,0.4929454382187331,0.0,0.0,0.0,0.0,0.0,0.2158866995624602,0.49037683968025036,0.0,0.18900818513995635,0.32413049980252734,0.0,0.15551570261247208,0.2813445198846076,0.0,0.17262883405602775,0.15285348764873022,0.05170755423162908
230689_at,0.6250426767033065,0.06666666,0.0,0.0,0.06666666,0.05306037167058104,0.24147457305988643,0.06666666,0.0740812442688896,0.40068860901549636,0.06666666,0.2865652022531584,0.0,0.06666666,0.04899366334716042,0.09804419899968764,0.06666666,0.2847111129840028,0.0651915977050972,0.06666666,0.16466119609636834,0.7795214867422402,0.06666666,0.19274818350754963,0.17703005302811745,0.06666666,0.18528487172401756,0.0,0.06666666,0.2240102430252113,0.15225919703536694,0.06666666269302368
225611_at,0.22929050713882548,0.0,0.35394717718465313,0.0,0.0,0.33980026010914327,0.09006295113994053,0.0,0.10579972594473849,0.0,0.0,0.13039195379179278,0.4828881486749124,0.0,0.2956657641482288,0.3779260471108736,0.0,0.26528964602381117,0.0,0.0,0.00928005862309407,0.47511827376902477,0.0,0.661666869171885,0.0,0.0,0.46389783232841947,0.0,0.0,0.21823108590455276,0.1499752100354632,0.00928005862309407
203010_at,0.10620226833614223,0.26666665,0.014069030673018438,0.07026787694053258,0.26666665,0.07539192813096479,0.043094091591491766,0.26666665,0.07277663451300426,0.08147120263736853,0.26666665,0.10037633284172007,0.0,0.26666665,0.11273153107876785,0.0,0.26666665,0.0,0.3115588560510313,0.26666665,0.15727108902172024,0.0,0.26666665,0.0,0.13839174667358423,0.26666665,0.39179693115969055,0.0,0.26666665,0.10635841690502836,0.14828081480916708,0.11273153107876785
1554689_a_at,0.23153898659489713,0.04444444,0.08322028636101338,0.0,0.04444444,0.13771772541794086,0.07891961987361522,0.04444444,0.3170076423533778,0.0034023950076519215,0.04444444,0.1089816830031539,0.0,0.04444444,0.2502096617274409,0.5069232440667926,0.04444444,0.692649179649454,0.0,0.04444444,0.07408750899800282,0.18856193837301868,0.04444444,0.3271923686330637,0.0,0.04444444,0.4083103387953804,0.0,0.04444444,0.40120955431010363,0.1418125517039466,0.04444444179534912
232650_at,0.030210884429680222,0.26666665,0.0,0.04073210563013024,0.26666665,0.008783284125402895,0.04118410415253367,0.26666665,0.14160121512823737,0.0,0.26666665,0.350540258860508,0.37681692017187657,0.26666665,0.0,0.0,0.26666665,0.0,0.0,0.26666665,0.07751915465179292,0.044028074500896665,0.26666665,0.1837380978292785,0.0,0.26666665,0.147251584540145,0.03680961028783885,0.26666665,0.0,0.13819606006764226,0.13819606006764226
229380_at,0.0,0.15555555,0.3074971794660284,0.0,0.15555555,0.30099422507321005,0.617813739395149,0.15555555,0.010794706566658884,0.0,0.15555555,0.02348390803166072,0.0,0.15555555,0.3446388625279199,0.0,0.15555555,0.005991380685443499,0.0,0.15555555,0.2725363588354105,0.0,0.15555555,0.2570480714533951,0.005919600135504793,0.15555555,0.2248276979966138,0.0,0.15555555,0.12683272580094243,0.13513113062683857,0.15555554628372192
221870_at,0.0,0.11111111,0.37108452358452076,0.0,0.11111111,0.11152151544409318,0.004997614872253236,0.11111111,0.1387182449742914,0.0,0.11111111,0.7078450607431096,0.1653656118438194,0.11111111,0.04650320927780259,0.08040446420722551,0.11111111,0.22206250501037225,0.0,0.11111111,0.2881675762025888,0.15906128592284088,0.11111111,0.21731789838284654,0.0,0.11111111,0.34558582900686324,0.0,0.11111111,0.051912429235911994,0.1340552962699358,0.1111111119389534
